date,name,price
2023-10-20,SP98,1.814
2023-10-10,SP98,1.879
2023-10-19,E10,2.01
2023-10-03,Gazole,1.999
2023-10-06,E85,1.0
2023-09-14,E10,1.969
2023-10-16,SP98,1.969
2023-10-18,SP95,1.869
2023-10-20,E10,1.808
2023-10-12,E10,1.949
2023-10-20,E10,1.859
2023-10-19,E10,1.939
2023-10-20,E10,1.85
2023-10-19,E10,1.893
2023-10-20,E10,1.775
2023-10-18,SP98,1.817
2023-10-10,Gazole,1.899
2023-10-20,SP98,1.865
2023-10-20,Gazole,1.869
2023-10-20,SP95,1.827
2023-10-19,E10,1.814
2023-10-20,E10,1.844
2023-10-17,SP95,1.919
2023-10-19,E10,1.778
2023-10-12,E10,1.862
2023-10-18,Gazole,1.899
2023-10-20,E10,1.752
2023-10-12,Gazole,1.949
2023-10-20,E10,1.839
2023-10-07,E85,0.999
2023-10-19,E10,1.819
2023-10-07,E85,0.979
2023-10-17,SP98,1.849
2023-10-14,E85,0.998
2023-10-18,Gazole,1.878
2023-10-19,Gazole,1.949
2023-10-20,SP95,1.864
2023-10-12,SP95,1.98
2023-10-20,GPLc,1.004
2023-10-20,Gazole,1.99
2023-10-17,Gazole,1.905
2023-10-17,SP95,1.869
2023-10-18,E10,1.844
2023-10-20,SP98,1.856
2023-10-11,E10,1.816
2023-10-19,Gazole,1.877
2023-10-19,Gazole,1.889
2023-10-20,Gazole,1.969
2023-10-19,Gazole,1.974
2023-09-20,E85,0.999
2023-10-19,SP98,1.899
2023-10-13,E10,1.869
2023-10-19,Gazole,1.843
2023-10-14,Gazole,1.889
2023-10-14,SP98,1.899
2023-10-20,Gazole,1.809
2023-10-20,SP98,1.99
2023-10-19,SP95,1.8
2023-10-20,E10,1.8
2023-10-18,Gazole,1.896
2023-10-08,E85,0.985
2023-10-20,Gazole,1.978
2023-10-04,Gazole,1.969
2023-10-19,E10,2.339
2023-10-20,SP98,1.909
2023-10-12,E85,0.949
2023-10-20,Gazole,1.824
2023-10-19,Gazole,1.99
2023-10-20,Gazole,1.89
2023-09-22,SP95,2.099
2023-10-19,E10,2.379
2023-10-19,E10,1.832
2023-08-10,SP95,1.994
2023-10-14,SP98,1.899
2023-10-20,SP98,1.907
2023-10-19,Gazole,1.978
2023-10-05,Gazole,1.899
2023-10-20,SP95,1.889
2023-07-05,E85,0.999
2023-10-19,Gazole,1.889
2023-10-19,SP98,2.099
2023-10-18,SP98,1.999
2023-05-04,SP95,1.99
2023-10-19,E10,2.379
2023-09-04,GPLc,1.06
2023-10-19,Gazole,1.899
2023-10-20,SP95,1.777
2023-10-17,E10,1.822
2023-10-20,E85,0.998
2023-10-19,SP98,2.149
2023-10-19,Gazole,1.875
2023-10-20,SP98,1.821
2023-10-17,SP98,1.869
2023-08-18,GPLc,0.899
2023-10-20,SP98,1.899
2023-09-19,SP98,1.99
2023-10-19,SP95,1.786
2023-10-18,SP95,1.86
2023-10-20,GPLc,1.054
2023-10-20,SP98,1.99
2023-10-18,SP98,1.9
2023-10-18,E10,1.749
2023-10-17,E10,1.829
2023-10-17,SP98,1.889
2023-10-20,E10,1.802
2023-10-18,SP95,1.837
2023-10-20,E85,0.994
2023-10-19,E10,1.887
2023-10-20,SP98,1.915
2023-10-19,E10,1.784
2023-10-17,SP95,1.832
2023-10-18,E85,0.949
2023-10-19,E10,1.737
2023-10-19,E85,0.98
2023-10-20,SP98,1.99
2023-10-20,Gazole,1.979
2023-10-16,SP95,1.861
2023-10-15,Gazole,1.875
2023-10-20,E10,1.732
2023-10-13,E10,1.799
2023-10-19,Gazole,1.849
2023-10-07,Gazole,1.949
2023-06-07,SP98,1.99
2023-10-19,Gazole,1.949
2023-10-18,E10,1.879
2023-10-16,SP95,1.849
2023-10-13,E10,1.879
2023-10-17,SP98,1.999
2023-10-20,SP98,1.884
2023-10-12,SP95,1.859
2023-10-19,Gazole,1.99
2023-10-18,SP98,1.868
2023-10-13,SP95,1.839
2023-10-20,Gazole,1.979
2023-10-18,Gazole,1.939
2023-10-18,SP98,1.939
2023-10-19,E85,1.13
2023-10-20,E10,1.771
2023-10-18,Gazole,1.829
2023-10-18,SP98,1.99
2023-10-20,E10,1.779
2023-10-19,E10,1.849
2023-10-20,E85,0.994
2023-10-14,SP98,1.877
2023-10-17,GPLc,1.083
2023-10-19,E10,1.754
2023-05-26,GPLc,1.054
2023-10-19,Gazole,1.977
2023-10-20,SP98,1.99
2023-10-17,E10,1.741
2023-10-19,E10,1.98
2023-10-20,Gazole,1.879
2023-10-18,Gazole,1.869
2023-10-10,E10,1.799
2023-10-19,E10,1.839
2023-10-14,Gazole,1.869
2023-10-20,SP98,1.796
2023-10-09,E85,1.048
2023-07-21,Gazole,1.85
2023-10-11,SP95,1.955
2023-10-18,E10,1.793
2023-10-16,Gazole,1.89
2023-10-16,E10,1.929
2023-10-20,Gazole,1.828
2023-10-19,E10,2.199
2023-10-20,E85,0.994
2023-10-20,E10,1.853
2023-09-21,E85,1.42
2023-09-04,SP98,2.1
2023-10-11,SP98,1.895
2023-10-20,SP98,1.929
2023-10-19,Gazole,2.04
2023-10-17,SP98,1.879
2023-10-19,Gazole,1.879
2023-10-17,E10,1.761
2023-10-19,Gazole,1.869
2023-10-17,Gazole,1.866
2023-10-19,Gazole,1.859
2023-10-20,E10,1.903
2023-10-20,E10,1.819
2023-10-12,E10,1.869
2023-10-19,SP95,1.825
2023-10-20,E10,1.848
2023-10-19,SP98,1.895
2023-10-12,E10,1.904
2023-10-18,Gazole,1.881
2023-10-06,SP98,1.934
2023-10-20,E85,0.951
2023-10-20,E10,1.752
2023-10-19,SP95,1.809
2023-10-20,SP98,2.11
2023-08-30,GPLc,0.99
2023-10-20,E10,1.745
2023-10-06,SP98,1.955
2023-10-19,E10,1.95
2023-09-09,GPLc,1.009
2023-10-03,GPLc,0.99
2023-10-18,Gazole,1.878
2023-10-20,GPLc,0.888
2023-10-14,Gazole,1.869
2023-10-17,SP95,1.809
2023-10-20,SP98,1.917
2023-10-20,E10,1.87
2023-10-18,E85,0.999
2023-10-20,E85,0.994
2023-10-19,Gazole,1.825
2023-10-20,Gazole,1.859
2023-10-19,E85,0.982
2023-10-16,E10,1.789
2023-10-20,Gazole,1.952
2023-10-19,E10,1.842
2023-10-17,Gazole,1.863
2023-10-13,GPLc,0.964
2023-10-18,SP95,1.877
2023-10-19,Gazole,1.879
2023-10-20,Gazole,1.99
2023-07-11,E85,0.998
2023-10-19,SP98,1.859
2023-10-17,Gazole,1.869
2023-10-17,E10,1.779
2023-10-14,SP98,1.835
2023-10-20,E85,0.994
2023-10-14,SP98,1.949
2023-10-17,SP95,1.899
2023-10-19,Gazole,2.071
2023-10-14,SP95,1.825
2023-10-18,SP98,1.899
2023-10-16,SP98,1.839
2023-10-17,Gazole,1.879
2023-10-20,Gazole,1.865
2023-10-14,E10,1.796
2023-10-20,SP98,1.883
2023-10-10,E85,0.999
2023-10-10,SP98,1.989
2023-10-17,Gazole,1.99
2023-10-19,E10,1.949
2023-10-20,Gazole,1.829
2023-10-20,Gazole,1.894
2023-10-16,SP98,1.857
2023-10-20,GPLc,0.88
2023-10-20,Gazole,1.869
2023-10-20,Gazole,1.951
2023-10-20,Gazole,1.859
2023-10-19,Gazole,1.869
2023-10-18,SP95,1.809
2023-10-09,E85,0.95
2023-10-18,SP95,1.77
2023-10-17,Gazole,1.912
2023-10-14,E10,1.769
2023-10-20,E85,1.089
2023-10-18,SP98,1.999
2023-10-20,E10,1.793
2023-10-18,Gazole,1.84
2023-10-19,Gazole,1.859
2023-10-10,E10,1.766
2023-10-20,E10,1.845
2023-10-16,E85,0.913
2023-10-18,SP98,1.862
2023-10-19,E10,1.79
2023-10-19,E10,1.859
2023-10-20,E10,1.749
2023-10-20,E10,1.809
2023-10-19,SP98,1.899
2023-10-20,E85,0.998
2023-10-18,SP98,1.898
2023-10-20,E10,1.799
2023-10-14,E10,1.779
2023-10-06,SP98,1.99
2023-10-19,Gazole,1.865
2023-10-20,SP98,1.85
2023-10-17,Gazole,1.889
2023-10-16,E10,1.767
2023-10-18,SP95,1.849
2023-10-18,SP98,1.954
2023-10-12,SP98,1.859
2023-10-18,SP98,1.84
2023-10-14,GPLc,1.037
2023-10-18,Gazole,1.889
2023-10-20,Gazole,1.971
2023-10-09,E85,0.964
2023-10-13,Gazole,1.934
2023-10-19,SP95,1.848
